source,external_id,title,price,mileage,location,link,first_seen,last_seen,days_on_market,is_delisted
autotrader,19_13081429_,1998 Toyota RAV4 4dr Auto 4WD,100,344600,CHILLIWACK,https://www.autotrader.ca/a/toyota/rav4/chilliwack/british%20columbia/19_13081429_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13055585_,1997 Honda CR-V,700,300000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13055585_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13064467_,2006 Honda CR-V 4WD EX Auto,4000,292000,SQUAMISH,https://www.autotrader.ca/a/honda/cr-v/squamish/british%20columbia/19_13064467_/,2025-04-01T05:26:11,2025-04-02T14:43:27,1.387,1
autotrader,19_13112436_,2007 Toyota RAV4 4WD 4dr V6 Sport,4500,437417,OSOYOOS,https://www.autotrader.ca/a/toyota/rav4/osoyoos/british%20columbia/19_13112436_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13062268_,2001 Honda CR-V 4WD EX Auto,4800,320000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13062268_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,65524107,2002 Toyota RAV4 4WD,4900,297545,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/5_65524107_20250219225513022/,2025-04-01T05:30:53,2025-04-09T15:35:08,8.42,1
autotrader,65932669,2002 Honda CR-V LX,4997,352723,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_65932669_bs2004414151741/,2025-04-09T15:35:08,2025-04-09T15:35:08,0.0,1
autotrader,19_13139622_,2013 Mazda CX-5 FWD 4dr Man GX,5000,327900,NANAIMO,https://www.autotrader.ca/a/mazda/cx-5/nanaimo/british%20columbia/19_13139622_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13039197_,2002 Toyota RAV4 4dr Auto 4WD,6000,285000,DELTA,https://www.autotrader.ca/a/toyota/rav4/delta/british%20columbia/19_13039197_/,2025-04-01T05:30:53,2025-04-04T15:47:22,3.428,1
autotrader,19_13131213_,2014 Mazda CX-5 AWD 4dr Auto GS,6000,230000,KELOWNA,https://www.autotrader.ca/a/mazda/cx-5/kelowna/british%20columbia/19_13131213_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13065073_,2009 Toyota RAV4 4WD 4dr I4 Base,6200,320000,SURREY,https://www.autotrader.ca/a/toyota/rav4/surrey/british%20columbia/19_13065073_/,2025-04-02T14:43:27,2025-04-09T15:35:08,7.036,1
autotrader,65769860,2003 Honda CR-V EX 4x4,6500,224734,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_65769860_20240507155345269/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13063850_,2008 Honda CR-V 4WD 5dr LX,6500,233341,COLDSTREAM,https://www.autotrader.ca/a/honda/cr-v/coldstream/british%20columbia/19_13063850_/,2025-04-01T05:26:11,2025-04-07T13:41:28,6.344,1
autotrader,19_13062456_,2008 Honda CR-V 4WD 5dr EX-L w-Navi,6500,252000,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13062456_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13028188_,2008 Honda CR-V 4WD 5dr EX,6500,280000,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13028188_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,65583038,2002 Toyota RAV4 Auto 4WD [BC LOCAL / DEALER SERVICED],6800,260000,VANCOUVER,https://www.autotrader.ca/a/toyota/rav4/vancouver/british%20columbia/5_65583038_20250219164236420/,2025-04-01T05:30:53,2025-07-07T03:57:57,96.935,0
autotrader,65931065,2002 Honda CR-V EX-L Automatic 4WD Leather Sunroof FREE Warranty!!,6980,253133,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/5_65931065_20170130165445534/,2025-04-04T15:47:22,2025-04-07T13:41:28,2.913,1
autotrader,19_13063157_,2005 Honda CR-V 4WD LX Auto,7250,350000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13063157_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13086239_,2005 Toyota RAV4 4dr Auto 4WD,7700,243900,SURREY,https://www.autotrader.ca/a/toyota/rav4/surrey/british%20columbia/19_13086239_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,65391544,2013 Mazda CX-5 GT | Leather | Sunroof | Heated Seats,7995,261503,VICTORIA,https://www.autotrader.ca/a/mazda/cx-5/victoria/british%20columbia/5_65391544_20160304162757877/,2025-04-01T04:37:11,2025-04-01T05:30:53,0.037,1
autotrader,66918147,2005 Toyota RAV4 4dr 4WD,7995,275000,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/5_66918147_bs2007530142132/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,66434206,2010 Toyota RAV4 4WD,7995,293345,NANAIMO,https://www.autotrader.ca/a/toyota/rav4/nanaimo/british%20columbia/5_66434206_20230622134714619/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13055816_,2008 Honda CR-V 4WD 5dr EX-L,8500,212132,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13055816_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,64541064,"2011 Honda CR-V EX 4WD Auto, Local, No accident",8500,,BURNABY,https://www.autotrader.ca/a/honda/cr-v/burnaby/british%20columbia/5_64541064_20220421191432427/,2025-04-04T15:47:22,2025-04-09T15:35:08,4.992,1
autotrader,19_13132344_,2007 Toyota RAV4 4WD 4dr I4 Limited,8500,208083,HOPE,https://www.autotrader.ca/a/toyota/rav4/hope/british%20columbia/19_13132344_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13132333_,2007 Toyota RAV4 4WD 4dr I4 Limited,8500,208091,HOPE,https://www.autotrader.ca/a/toyota/rav4/hope/british%20columbia/19_13132333_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13062263_,2007 Honda CR-V 4WD 5dr LX,8700,257000,WHISTLER,https://www.autotrader.ca/a/honda/cr-v/whistler/british%20columbia/19_13062263_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,65728193,2001 Toyota RAV4 4dr AUTO 4WD,8900,195206,SURREY,https://www.autotrader.ca/a/toyota/rav4/surrey/british%20columbia/5_65728193_20241011191238131/,2025-04-01T05:30:53,2025-04-09T15:35:08,8.42,1
autotrader,66809815,2004 Toyota RAV4 Limited AWD Leather Sunroof FREE Service! FREE War,8980,244676,VANCOUVER,https://www.autotrader.ca/a/toyota/rav4/vancouver/british%20columbia/5_66809815_20170130165445534/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,66717473,2012 Toyota RAV4,8988,264889,ABBOTSFORD,https://www.autotrader.ca/a/toyota/rav4/abbotsford/british%20columbia/5_66717473_20231115153126485/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13030202_,2006 Toyota RAV4 4dr Auto 4WD Base,8999,229000,NORTH VANCOUVER,https://www.autotrader.ca/a/toyota/rav4/north%20vancouver/british%20columbia/19_13030202_/,2025-04-09T15:35:08,2025-04-09T15:35:08,0.0,1
autotrader,19_13040225_,2001 Toyota RAV4 4dr Auto 4WD,9000,305500,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/19_13040225_/,2025-04-01T05:30:53,2025-04-09T15:35:08,8.42,1
autotrader,19_13138782_,2015 Honda CR-V AWD 5dr Touring,9000,141846,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13138782_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13068247_,2010 Honda CR-V 4WD 5dr EX-L w/Navi,9450,254000,CAMPBELL RIVER,https://www.autotrader.ca/a/honda/cr-v/campbell%20river/british%20columbia/19_13068247_/,2025-04-07T13:41:28,2025-04-09T15:35:08,2.079,1
autotrader,66939655,2009 Honda CR-V One Owner!!! Local Unit!!!,9500,226000,NORTH VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/north%20vancouver/british%20columbia/5_66939655_20100630140931262/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,19_13081501_,2006 Toyota RAV4 4dr Auto 4WD Limited,9800,233000,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/19_13081501_/,2025-07-07T03:57:57,2025-07-07T03:57:57,0.0,0
autotrader,65962151,2011 Honda CR-V SPORT/ CLEAN TITLE/ BC LOCAL/ BACKUP CAMERA,9990,213100,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_65962151_20180116182834554/,2025-04-07T13:41:28,2025-04-09T15:35:08,2.079,1
autotrader,65820778,2012 Toyota RAV4 AWD,9995,211640,NANAIMO,https://www.autotrader.ca/a/toyota/rav4/nanaimo/british%20columbia/5_65820778_20221005201416273/,2025-04-01T05:30:53,2025-04-01T05:30:53,0.0,1
autotrader,65985566,2006 Toyota RAV4 Base,9997,249093,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/5_65985566_bs2004414151741/,2025-04-09T15:35:08,2025-04-09T15:35:08,0.0,1
