source,external_id,title,price,mileage,location,link,first_seen,last_seen,days_on_market,is_delisted
autotrader,19_13055585_,1997 Honda CR-V,700,300000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13055585_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13179921_,2001 Toyota RAV4 4dr Auto 4WD,2000,463000,MISSION,https://www.autotrader.ca/a/toyota/rav4/mission/british%20columbia/19_13179921_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,66335864,1998 Honda CR-V 4WD EX AUTO BC LOCAL,2800,302944,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/5_66335864_20250219164236420/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13064467_,2006 Honda CR-V 4WD EX Auto,4000,292000,SQUAMISH,https://www.autotrader.ca/a/honda/cr-v/squamish/british%20columbia/19_13064467_/,2025-04-01T05:26:11,2025-04-02T14:43:27,1.387,1
autotrader,19_13164544_,2004 Honda CR-V 4WD EX-L Auto,4500,306000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13164544_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13062268_,2001 Honda CR-V 4WD EX Auto,4800,320000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13062268_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,65524107,2002 Toyota RAV4 4WD,4900,297545,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/5_65524107_20250219225513022/,2025-04-01T05:30:53,2025-04-09T15:35:08,8.42,1
autotrader,65932669,2002 Honda CR-V LX,4997,352723,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_65932669_bs2004414151741/,2025-04-09T15:35:08,2025-04-09T15:35:08,0.0,1
autotrader,67802572,2003 Toyota RAV4 Base,4999,378291,KELOWNA,https://www.autotrader.ca/a/toyota/rav4/kelowna/british%20columbia/5_67802572_20250801131908192/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13150736_,2004 Honda CR-V 4WD EX Manual,5000,310000,VICTORIA,https://www.autotrader.ca/a/honda/cr-v/victoria/british%20columbia/19_13150736_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13181021_,2003 Toyota RAV4 4D Hardtop 4WD,5750,334400,NEW WESTMINSTER,https://www.autotrader.ca/a/toyota/rav4/new%20westminster/british%20columbia/19_13181021_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,67481397,2004 Toyota RAV4 4dr 4WD,5788,270742,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/5_67481397_20250730173238261/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,66939696,2002 Honda CR-V CRV,5950,279800,NEW WESTMINSTER,https://www.autotrader.ca/a/honda/cr-v/new%20westminster/british%20columbia/5_66939696_20250616174827937/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,67481352,2003 Toyota RAV4 4dr 4WD,5988,233000,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/5_67481352_20250730173238261/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13039197_,2002 Toyota RAV4 4dr Auto 4WD,6000,285000,DELTA,https://www.autotrader.ca/a/toyota/rav4/delta/british%20columbia/19_13039197_/,2025-04-01T05:30:53,2025-04-04T15:47:22,3.428,1
autotrader,19_13065073_,2009 Toyota RAV4 4WD 4dr I4 Base,6200,320000,SURREY,https://www.autotrader.ca/a/toyota/rav4/surrey/british%20columbia/19_13065073_/,2025-04-02T14:43:27,2025-04-09T15:35:08,7.036,1
autotrader,65769860,2003 Honda CR-V EX 4x4,6500,224734,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_65769860_20240507155345269/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13063850_,2008 Honda CR-V 4WD 5dr LX,6500,233341,COLDSTREAM,https://www.autotrader.ca/a/honda/cr-v/coldstream/british%20columbia/19_13063850_/,2025-04-01T05:26:11,2025-04-07T13:41:28,6.344,1
autotrader,19_13062456_,2008 Honda CR-V 4WD 5dr EX-L w-Navi,6500,252000,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13062456_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13028188_,2008 Honda CR-V 4WD 5dr EX,6500,280000,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13028188_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13165202_,2007 Honda CR-V 4WD 5dr EX,6650,260000,COQUITLAM,https://www.autotrader.ca/a/honda/cr-v/coquitlam/british%20columbia/19_13165202_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,65583038,2002 Toyota RAV4 Auto 4WD [BC LOCAL / DEALER SERVICED],6800,260000,VANCOUVER,https://www.autotrader.ca/a/toyota/rav4/vancouver/british%20columbia/5_65583038_20250219164236420/,2025-04-01T05:30:53,2025-09-10T03:30:55,161.917,0
autotrader,67692500,2006 Honda CR-V SE 4x4 Automatic,6888,306000,COQUITLAM,https://www.autotrader.ca/a/honda/cr-v/coquitlam/british%20columbia/5_67692500_20250730173238261/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13148450_,2007 Honda CR-V 4WD 5dr EX-L,6900,304000,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13148450_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13185784_,2006 Toyota RAV4 4dr Auto 4WD Base,6900,218555,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/19_13185784_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,65931065,2002 Honda CR-V EX-L Automatic 4WD Leather Sunroof FREE Warranty!!,6980,253133,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/5_65931065_20170130165445534/,2025-04-04T15:47:22,2025-04-07T13:41:28,2.913,1
autotrader,67790876,2004 Honda CR-V 4WD EX-L Automatic,6999,233821,COQUITLAM,https://www.autotrader.ca/a/honda/cr-v/coquitlam/british%20columbia/5_67790876_20250730173238261/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13063157_,2005 Honda CR-V 4WD LX Auto,7250,350000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13063157_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_13169675_,2008 Honda CR-V 4WD 5dr EX-L,7500,287900,BRENTWOOD BAY,https://www.autotrader.ca/a/honda/cr-v/brentwood%20bay/british%20columbia/19_13169675_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13177988_,2007 Toyota RAV4 4WD 4dr I4 Limited,7500,256000,COMOX,https://www.autotrader.ca/a/toyota/rav4/comox/british%20columbia/19_13177988_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,67771989,2012 Honda CR-V CRV EX-L AWD,7800,216196,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_67771989_20150611084207627/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,65391544,2013 Mazda CX-5 GT | Leather | Sunroof | Heated Seats,7995,261503,VICTORIA,https://www.autotrader.ca/a/mazda/cx-5/victoria/british%20columbia/5_65391544_20160304162757877/,2025-04-01T04:37:11,2025-04-01T05:30:53,0.037,1
autotrader,67481379,2003 Toyota RAV4 Base All-wheel Drive Manual,7995,202521,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/5_67481379_20250730173238261/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13172005_,2013 Mazda CX-5 FWD 4dr Man GX,8000,190000,PORT MOODY,https://www.autotrader.ca/a/mazda/cx-5/port%20moody/british%20columbia/19_13172005_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13055816_,2008 Honda CR-V 4WD 5dr EX-L,8500,212132,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13055816_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,64541064,"2011 Honda CR-V EX 4WD Auto, Local, No accident",8500,,BURNABY,https://www.autotrader.ca/a/honda/cr-v/burnaby/british%20columbia/5_64541064_20220421191432427/,2025-04-04T15:47:22,2025-04-09T15:35:08,4.992,1
autotrader,19_13062263_,2007 Honda CR-V 4WD 5dr LX,8700,257000,WHISTLER,https://www.autotrader.ca/a/honda/cr-v/whistler/british%20columbia/19_13062263_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,65728193,2001 Toyota RAV4 4dr AUTO 4WD,8900,195206,SURREY,https://www.autotrader.ca/a/toyota/rav4/surrey/british%20columbia/5_65728193_20241011191238131/,2025-04-01T05:30:53,2025-04-09T15:35:08,8.42,1
autotrader,19_13030202_,2006 Toyota RAV4 4dr Auto 4WD Base,8999,229000,NORTH VANCOUVER,https://www.autotrader.ca/a/toyota/rav4/north%20vancouver/british%20columbia/19_13030202_/,2025-04-09T15:35:08,2025-04-09T15:35:08,0.0,1
autotrader,19_13040225_,2001 Toyota RAV4 4dr Auto 4WD,9000,305500,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/19_13040225_/,2025-04-01T05:30:53,2025-04-09T15:35:08,8.42,1
autotrader,19_13155778_,2011 Honda CR-V 4WD 5dr EX-L,9000,231000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13155778_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13159869_,2010 Toyota RAV4 Base 4D Utility 4WD,9445,285000,NELSON,https://www.autotrader.ca/a/toyota/rav4/nelson/british%20columbia/19_13159869_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13068247_,2010 Honda CR-V 4WD 5dr EX-L w/Navi,9450,254000,CAMPBELL RIVER,https://www.autotrader.ca/a/honda/cr-v/campbell%20river/british%20columbia/19_13068247_/,2025-04-07T13:41:28,2025-04-09T15:35:08,2.079,1
autotrader,19_13180698_,2010 Toyota RAV4 2WD 4dr I4 Base,9800,225000,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/19_13180698_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13081501_,2006 Toyota RAV4 4dr Auto 4WD Limited,9800,233000,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/19_13081501_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13177019_,2014 Mazda CX-5 AWD 4dr Auto GS,9899,235000,KELOWNA,https://www.autotrader.ca/a/mazda/cx-5/kelowna/british%20columbia/19_13177019_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13176968_,2014 Toyota RAV4 AWD 4dr XLE,9899,259500,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/19_13176968_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,65962151,2011 Honda CR-V SPORT/ CLEAN TITLE/ BC LOCAL/ BACKUP CAMERA,9990,213100,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_65962151_20180116182834554/,2025-04-07T13:41:28,2025-04-09T15:35:08,2.079,1
autotrader,65820778,2012 Toyota RAV4 AWD,9995,211640,NANAIMO,https://www.autotrader.ca/a/toyota/rav4/nanaimo/british%20columbia/5_65820778_20221005201416273/,2025-04-01T05:30:53,2025-04-01T05:30:53,0.0,1
autotrader,67481354,2008 Toyota RAV4 Base Four-wheel Drive Automatic,9995,181055,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/5_67481354_20250730173238261/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,67833326,2011 Toyota RAV4 VdpUrlEn,9995,266550,COURTENAY,https://www.autotrader.ca/a/toyota/rav4/courtenay/british%20columbia/5_67833326_20230901191440167/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,65985566,2006 Toyota RAV4 Base,9997,249093,RICHMOND,https://www.autotrader.ca/a/toyota/rav4/richmond/british%20columbia/5_65985566_bs2004414151741/,2025-04-09T15:35:08,2025-04-09T15:35:08,0.0,1
autotrader,19_13036478_,2011 Honda CR-V 4WD 5dr EX,9998,244402,BURNABY,https://www.autotrader.ca/a/honda/cr-v/burnaby/british%20columbia/19_13036478_/,2025-04-01T05:26:11,2025-04-07T13:41:28,6.344,1
autotrader,65659018,2009 Honda CR-V 4WD EX-L w-Navi,9998,257000,SOOKE,https://www.autotrader.ca/a/honda/cr-v/sooke/british%20columbia/5_65659018_20210419185601546/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,65871212,2008 Honda CR-V 4WD 5dr EX-L,9999,221751,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_65871212_20240515163748019/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,19_12978658_,2010 Honda CR-V 4WD 5dr EX-L,9999,288192,VICTORIA,https://www.autotrader.ca/a/honda/cr-v/victoria/british%20columbia/19_12978658_/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,67762998,2011 Honda CR-V 4WD 5dr LX,9999,287955,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_67762998_20240515163748019/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,67481372,2007 Toyota RAV4 Sport 4dr SUV 4WD (3.5L 6cyl 5A),9999,168713,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/5_67481372_20250730173238261/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13069530_,2009 Honda CR-V 4WD 5dr EX-L,10000,179000,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13069530_/,2025-04-09T15:35:08,2025-04-09T15:35:08,0.0,1
autotrader,19_13137030_,2010 Honda CR-V 4WD 5dr EX-L,10000,242000,VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/vancouver/british%20columbia/19_13137030_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,67851232,2002 Honda CR-V 4WD EX Auto w-Leather,10495,180942,NORTH VANCOUVER,https://www.autotrader.ca/a/honda/cr-v/north%20vancouver/british%20columbia/5_67851232_bs200591595952/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13065106_,2014 Honda CR-V AWD 5dr LX,10500,244000,CHILLIWACK,https://www.autotrader.ca/a/honda/cr-v/chilliwack/british%20columbia/19_13065106_/,2025-04-02T14:43:27,2025-04-02T14:43:27,0.0,1
autotrader,65583061,2009 Toyota RAV4 AWD V6 Limited [BC LOCAL / SUNROOF / HEATED SEATS,10800,228065,VANCOUVER,https://www.autotrader.ca/a/toyota/rav4/vancouver/british%20columbia/5_65583061_20250219164236420/,2025-04-01T05:30:53,2025-04-09T15:35:08,8.42,1
autotrader,65908636,2009 Toyota RAV4 Limited AWD / 4 Cylinder / 1 OWNER,10888,194606,VANCOUVER,https://www.autotrader.ca/a/toyota/rav4/vancouver/british%20columbia/5_65908636_bs200697154032/,2025-04-02T14:43:27,2025-04-09T15:35:08,7.036,1
autotrader,65906340,2005 Honda CR-V EX-L,10888,206258,CHILLIWACK,https://www.autotrader.ca/a/honda/cr-v/chilliwack/british%20columbia/5_65906340_20240313160731093/,2025-04-04T15:47:22,2025-04-09T15:35:08,4.992,1
autotrader,66064177,2011 Toyota RAV4 Sport 4WD | FREE Driver's Shield Warranty |,10890,242255,COQUITLAM,https://www.autotrader.ca/a/toyota/rav4/coquitlam/british%20columbia/5_66064177_20191204192538227/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13186526_,2008 Honda CR-V 4WD 5dr LX,10900,146000,BURNABY,https://www.autotrader.ca/a/honda/cr-v/burnaby/british%20columbia/19_13186526_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,67843083,2010 Honda CR-V 4WD 5dr LX,10900,180700,RICHMOND,https://www.autotrader.ca/a/honda/cr-v/richmond/british%20columbia/5_67843083_20250219225513022/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,67384058,2013 Mazda CX-5 GX-Bluetooth | Navigation | USB Port,10980,188800,BURNABY,https://www.autotrader.ca/a/mazda/cx-5/burnaby/british%20columbia/5_67384058_20231114185904344/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,65699983,2005 Honda CR-V EX-L AWD - fuel efficient & reliable SUV,10998,246325,BURNABY,https://www.autotrader.ca/a/honda/cr-v/burnaby/british%20columbia/5_65699983_bs200541411570/,2025-04-01T05:26:11,2025-04-09T15:35:08,8.423,1
autotrader,67675907,2010 Honda CR-V 4WD 5dr EX-L,10998,236000,SOOKE,https://www.autotrader.ca/a/honda/cr-v/sooke/british%20columbia/5_67675907_20210419185601546/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_13065579_,2008 Honda CR-V 4WD 5dr EX-L,11000,160000,SURREY,https://www.autotrader.ca/a/honda/cr-v/surrey/british%20columbia/19_13065579_/,2025-04-04T15:47:22,2025-04-09T15:35:08,4.992,1
autotrader,19_13168759_,2010 Honda CR-V 4WD 5dr EX,11000,233000,NANAIMO,https://www.autotrader.ca/a/honda/cr-v/nanaimo/british%20columbia/19_13168759_/,2025-09-10T03:30:55,2025-09-10T03:30:55,0.0,0
autotrader,19_12919086_,2011 Toyota RAV4 2WD 4dr I4 Base,11300,225000,PORT MOODY,https://www.autotrader.ca/a/toyota/rav4/port%20moody/british%20columbia/19_12919086_/,2025-04-01T05:30:53,2025-04-09T15:35:08,8.42,1
